,kernel,C,auc_cv,auc_test,auc_cv_sc,auc_test_sc
0,linear,1.0,0.7853449199799003,0.7450674974039461,0.8829186304187953,0.7058670820353063
1,poly,1.0,0.5986001267225842,0.5185185185185185,0.8728210719460142,0.6202838352371063
2,sigmoid,1.0,0.3693860917891747,0.5413637937002422,0.6613412925866474,0.6523018345448252
3,linear,10.0,0.7739713481540118,0.6918483904465212,0.885611754089776,0.7082035306334372
4,poly,10.0,0.4711716423198052,0.537037037037037,0.8400539018909843,0.6526479750778815
5,sigmoid,10.0,0.3680123896572871,0.5413637937002422,0.6163418178827067,0.6938386985115956
