,max_depth,min_samples_split,auc_cv,auc_test,auc_cv_sc,auc_test_sc
0,2.0,1.0,0.8829483646189893,0.5,0.8821119385542062,0.5
1,2.0,3.0,0.8772907061689305,0.5,0.8797777671904153,0.5
2,2.0,5.0,0.8824899481137798,0.5,0.8839981423250988,0.5
3,2.0,7.0,0.8785717607353819,0.5,0.8830294801034956,0.5
4,2.0,9.0,0.8783052442463793,0.5,0.8826962387987741,0.5
5,2.0,11.0,0.8857280847705677,0.5,0.8756364063560008,0.5
6,2.0,13.0,0.881902186616108,0.5,0.8803240628759023,0.5
7,2.0,15.0,0.8837163433856267,0.5,0.8844511185548413,0.5
8,2.0,17.0,0.8804085785325754,0.5,0.8756818017084745,0.5
9,2.0,19.0,0.8869486366327626,0.5,0.8806127924657071,0.5
10,7.0,1.0,0.9278925895792665,0.6781758393907926,0.930031122773498,0.6643302180685358
11,7.0,3.0,0.9271437047135752,0.6943579093111804,0.9288421212513611,0.6619937694704049
12,7.0,5.0,0.9271574764288664,0.6966943579093112,0.9272377612126277,0.6781758393907926
13,7.0,7.0,0.9257008182402338,0.6434752509518865,0.9289616607173834,0.6643302180685358
14,7.0,9.0,0.924184072697717,0.6781758393907926,0.92883328487579,0.6226202838352372
15,7.0,11.0,0.9263769027729932,0.6781758393907926,0.9252660359856305,0.6249567324333679
16,7.0,13.0,0.9259713009180872,0.6434752509518865,0.924115735345258,0.6619937694704049
17,7.0,15.0,0.9258628944708722,0.6619937694704049,0.9284949616370994,0.6388023537556248
18,7.0,17.0,0.9227025342073608,0.6966943579093112,0.9212581329267786,0.6596573208722741
19,7.0,19.0,0.9225402380853488,0.6411388023537556,0.922248955312372,0.6758393907926618
20,12.0,1.0,0.9264197082937325,0.7499134648667359,0.9286975263849288,0.736067843544479
21,12.0,3.0,0.9306903978323596,0.7175493250259606,0.9297869496912969,0.7313949463482173
22,12.0,5.0,0.9295130749854017,0.7337313949463482,0.9233168455523713,0.7707684319833853
23,12.0,7.0,0.9283402151189165,0.7128764278296988,0.9263916354950285,0.7128764278296988
24,12.0,9.0,0.9277913825385073,0.6943579093111804,0.9262829114269403,0.6573208722741433
25,12.0,11.0,0.9244690437738573,0.6966943579093112,0.9253423953011657,0.6805122879889234
26,12.0,13.0,0.9255641435353159,0.6781758393907926,0.9243679507508477,0.7105399792315681
27,12.0,15.0,0.9306075639374889,0.6943579093111804,0.9251098968220811,0.6573208722741433
28,12.0,17.0,0.9254931674863729,0.6758393907926618,0.9241060112600673,0.7152128764278297
29,12.0,19.0,0.9230025963470341,0.6781758393907926,0.9220686118094699,0.6411388023537556
30,17.0,1.0,0.928999156268655,0.7337313949463482,0.9288376704870757,0.6966943579093112
31,17.0,3.0,0.9277632201544289,0.7128764278296988,0.931296027540173,0.7337313949463482
32,17.0,5.0,0.9213780348063612,0.7128764278296988,0.9299529880387236,0.7337313949463482
33,17.0,7.0,0.9265874039705867,0.736067843544479,0.9303884706880726,0.6990308065074421
34,17.0,9.0,0.9269552007974727,0.701367255105573,0.9292545315947255,0.6805122879889234
35,17.0,11.0,0.925589903402534,0.7313949463482173,0.9276657675552722,0.6943579093111804
36,17.0,13.0,0.9243923016844494,0.6990308065074421,0.927304893234594,0.6781758393907926
37,17.0,15.0,0.9234661436509624,0.7198857736240913,0.9279126811355191,0.6643302180685358
38,17.0,17.0,0.9215241444800343,0.6781758393907926,0.9240105539715232,0.6619937694704049
39,17.0,19.0,0.925998754763295,0.6781758393907926,0.9292733038027363,0.6966943579093112
40,22.0,1.0,0.9254357473334099,0.7337313949463482,0.9262350321163568,0.6966943579093112
41,22.0,3.0,0.9240952162224454,0.736067843544479,0.9307904728397507,0.7337313949463482
42,22.0,5.0,0.927048218920594,0.7499134648667359,0.9239383074390881,0.6966943579093112
43,22.0,7.0,0.9262379558572139,0.6943579093111804,0.9280106793910475,0.6920214607130496
44,22.0,9.0,0.9277579346173359,0.736067843544479,0.928288043854484,0.6966943579093112
45,22.0,11.0,0.926291194002015,0.6781758393907926,0.9247840178063148,0.6711664935964001
46,22.0,13.0,0.9270403313355795,0.6596573208722741,0.9277126044178621,0.6573208722741433
47,22.0,15.0,0.9234327690269154,0.6596573208722741,0.9258725126824384,0.6573208722741433
48,22.0,17.0,0.9219926271236825,0.6943579093111804,0.9262641229306796,0.6573208722741433
49,22.0,19.0,0.9217607557422189,0.6573208722741433,0.9270172020207204,0.6411388023537556
50,27.0,1.0,0.9250006800344334,0.7175493250259606,0.9322728420308515,0.7337313949463482
51,27.0,3.0,0.9298863609525043,0.7522499134648668,0.9291681265010642,0.6805122879889234
52,27.0,5.0,0.9261870713645237,0.7152128764278297,0.9292895594761375,0.6573208722741433
53,27.0,7.0,0.9265970710469029,0.6920214607130496,0.9254741428104888,0.7128764278296988
54,27.0,9.0,0.9245301654316102,0.7152128764278297,0.9282344473681853,0.7152128764278297
