,iter,Prob_algo,Rand
0,100,11.667509811030135,10.222260702314596
1,200,11.689090760424644,10.232996742994434
2,300,9.8797694650869,10.250505824725572
3,400,9.814390710867716,8.288643709755673
4,500,8.253150932879285,8.126643592036752
5,600,18.271032396345188,8.121568273813702
6,700,8.106277612021417,8.145565310403
7,800,8.292157390422505,8.121568273834283
8,900,7.825458835719828,5.810391319986256
9,1000,5.725445590337075,8.145565310402962
10,1100,8.868602483934938,8.126643592036755
11,1200,18.27878126251438,5.812124056333911
12,1300,7.798856904505759,5.651211033364478
13,1400,18.273842379616568,8.129424232023478
14,1500,5.6642792820176355,8.145565310402915
15,1600,7.14942111734227,8.113569485545522
16,1700,5.68549149782842,5.920486620907926
17,1800,7.798523534817177,5.651412165041314
18,1900,7.7937124422651225,5.938132349057887
